,Grup,Cultiu,Cultiu_fr
0,FRUITA DOLCA,PERERES/POMERES,"Translated(src=ca, dest=en, text=Pearres/apple trees, pronunciation=None, extra_data=""{'confiden..."")"
1,CEREALS,ORDI,"Translated(src=ca, dest=en, text=Barley, pronunciation=None, extra_data=""{'confiden..."")"
2,CEREALS D'ESTIU,SORGO,"Translated(src=ca, dest=en, text=Sorgo, pronunciation=None, extra_data=""{'confiden..."")"
3,CEREALS,CIVADA,"Translated(src=ca, dest=en, text=Oats, pronunciation=None, extra_data=""{'confiden..."")"
22,HORTICOLES,PATATA,"Translated(src=ca, dest=en, text=Potato, pronunciation=None, extra_data=""{'confiden..."")"
25,OLIVERAR,OLIVERES,"Translated(src=ca, dest=en, text=Olive trees, pronunciation=None, extra_data=""{'confiden..."")"
28,FRUITA DOLCA,PRESSEGUERS,"Translated(src=ca, dest=en, text=Peach, pronunciation=None, extra_data=""{'confiden..."")"
36,FRUITA DOLCA,PERERES,"Translated(src=ca, dest=en, text=Pear, pronunciation=None, extra_data=""{'confiden..."")"
37,FRUITA DOLCA,POMERES,"Translated(src=ca, dest=en, text=Apple trees, pronunciation=None, extra_data=""{'confiden..."")"
39,FRUITA DOLCA,CIRERERS,"Translated(src=ca, dest=en, text=Cherry, pronunciation=None, extra_data=""{'confiden..."")"
40,HORTICOLES,MELÓ,"Translated(src=ca, dest=en, text=MELON, pronunciation=None, extra_data=""{'confiden..."")"
41,HORTICOLES,SÍNDRIA,"Translated(src=ca, dest=en, text=Watermelon, pronunciation=None, extra_data=""{'confiden..."")"
43,HORTICOLES,"CEBES, CALÇOTS, PORROS I ALLS","Translated(src=ca, dest=en, text=Onions, calçots, leeks and garlic, pronunciation=None, extra_data=""{'confiden..."")"
44,HORTICOLES,CARBASSÓ,"Translated(src=ca, dest=en, text=COURGETTE, pronunciation=None, extra_data=""{'confiden..."")"
45,HORTICOLES,CARABASSA,"Translated(src=ca, dest=en, text=PUMPKIN, pronunciation=None, extra_data=""{'confiden..."")"
